x,y
1124471483.0,5.443
1124489866.0,5.393
1124496045.0,126.449
1124549249.0,6.379
1124554385.0,3.9160000000000004
1124580238.0,4.04
1124586870.0,2.576
1124587052.0,25.62
1124591257.0,37.992
1124592073.0,5.882000000000001
1124606111.0,18.553
1124611495.0,3.4339999999999997
1124624829.0,3.705
1124632725.0,17.162
1124633043.0,2.772
1124677019.0,13.216
1124701888.0,2.915
1124710129.0,3.141
1124712630.0,2.95
1124717664.0,2.719
1124722222.0,2.51
1124741302.0,3.904
1124762742.0,2.7889999999999997
1124789828.0,3.3139999999999996
1124829082.0,2.9819999999999998
1124836424.0,3.446
1124864635.0,3.215
1124879968.0,2.519
1124880969.0,5.223
1124883207.0,3.443
1124891295.0,4.254
1124924078.0,3.1
1124937141.0,22.014
1124939664.0,3.142
1124962165.0,2.987
1124963951.0,2.781
1124971556.0,2.9730000000000003
1125034238.0,2.675
